Unnamed: 0,id,scrape_id,host_id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,availability_eoy,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location
839,2670047,20250612050654,510942439,41.37439,2.16014,el Poble Sec,Sants-Montjuïc,Entire rental unit,Entire home/apt,2023-04-20,"Barcelona, Spain",within an hour,100%,100%,t,23.0,28.0,t,t,3,2.0,2 baths,2.0,5.0,"[""Courtyard view"", ""Dishwasher"", ""Paid parking lot off premises"", ""Babysitter recommendations"", ""Paid standalone high chair - available upon request"", ""Hangers"", ""Central air conditioning"", ""Dedicated workspace"", ""Refrigerator"", ""Outdoor dining area"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Extra pillows and blankets"", ""Wine glasses"", ""Room-darkening shades"", ""Hot water kettle"", ""Host greets you"", ""Private entrance"", ""Outdoor furniture"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Fire extinguisher"", ""Private patio or balcony"", ""Kitchen"", ""Heating - split type ductless system"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Toaster"", ""Dishes and silverware"", ""Clothing storage: wardrobe"", ""Dining table"", ""Central heating"", ""Baby bath - available upon request"", ""Essentials"", ""Coffee maker: Nespresso, pour-over coffee"", ""Microwave"", ""Hair dryer"", ""Smoke alarm"", ""AC - split type ductless system"", ""Induction stove"", ""Free washer \u2013 In unit"", ""43 inch HDTV with Amazon Prime Video, Apple TV, HBO Max, Netflix, standard cable"", ""Hot water"", ""Private backyard \u2013 Fully fenced"", ""Cooking basics"", ""Freezer"", ""Single level home"", ""Wifi"", ""Deliplus or Similar body soap"", ""First aid kit""]",$216.00,2,28,2.0,4.0,1125.0,1125.0,3.4,1125.0,t,8,38,64,338,165,478,20,3,20,3.51,4.76,4.82,4.74,4.87,4.71
1019,3189694,20250612050654,510942439,41.37357,2.16402,el Poble Sec,Sants-Montjuïc,Entire rental unit,Entire home/apt,2023-04-20,"Barcelona, Spain",within an hour,100%,100%,t,23.0,28.0,t,t,2,1.0,1 bath,1.0,1.0,"[""Paid standalone high chair - available upon request"", ""Hangers"", ""Refrigerator"", ""Fast wifi \u2013 99 Mbps"", ""Window guards"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Books and reading material"", ""Ethernet connection"", ""Wine glasses"", ""Room-darkening shades"", ""Hot water kettle"", ""Host greets you"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Private patio or balcony"", ""Kitchen"", ""Baking sheet"", ""Heating - split type ductless system"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Paid parking garage off premises"", ""Cleaning products"", ""Toaster"", ""Dishes and silverware"", ""Clothing storage: wardrobe"", ""Dining table"", ""Cleaning available during stay"", ""43 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Netflix"", ""Essentials"", ""Laundromat nearby"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Hair dryer"", ""Smoke alarm"", ""AC - split type ductless system"", ""TEKA stainless steel oven"", ""Induction stove"", ""Free washer \u2013 In unit"", ""Hot water"", ""Cooking basics"", ""Freezer"", ""Coffee maker: Nespresso"", ""Deliplus or Similar body soap"", ""First aid kit""]",$192.00,2,120,1.0,4.0,1125.0,1125.0,3.3,1125.0,t,14,39,47,219,140,313,42,3,50,2.63,4.63,4.71,4.71,4.83,4.69
1460,5429860,20250612050654,437835392,41.40426,2.17364,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,2021-12-28,,,,,f,29.0,30.0,t,t,3,1.0,1 bath,2.0,3.0,"[""Bed linens"", ""Oven"", ""Private entrance"", ""High chair"", ""Wifi"", ""Washer"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Toaster"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Coffee maker"", ""Patio or balcony"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Air conditioning""]",$58.00,32,330,32.0,32.0,330.0,330.0,32.0,330.0,,0,0,0,75,75,17,1,0,2,0.14,4.47,4.41,4.41,4.76,4.94
2144,11814469,20250612050654,510942439,41.40142,2.16076,la Vila de Gràcia,Gràcia,Entire rental unit,Entire home/apt,2023-04-20,"Barcelona, Spain",within an hour,100%,100%,t,23.0,28.0,t,t,4,1.0,1 bath,1.0,1.0,"[""Dishwasher"", ""Babysitter recommendations"", ""Hangers"", ""Refrigerator"", ""Free street parking"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Coffee maker"", ""Drying rack for clothing"", ""Books and reading material"", ""Extra pillows and blankets"", ""Heating"", ""Wine glasses"", ""Room-darkening shades"", ""Hot water kettle"", ""Paid parking off premises"", ""Host greets you"", ""Baby bath"", ""Private entrance"", ""Fire extinguisher"", ""Private patio or balcony"", ""Kitchen"", ""Baking sheet"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Carbon monoxide alarm"", ""42 inch HDTV with Netflix"", ""Toaster"", ""Dishes and silverware"", ""Dining table"", ""High chair"", ""City skyline view"", ""Essentials"", ""Laundromat nearby"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Hair dryer"", ""Smoke alarm"", ""Baby monitor"", ""AC - split type ductless system"", ""Induction stove"", ""Free washer \u2013 In unit"", ""Hot water"", ""Single level home"", ""Cooking basics"", ""Freezer"", ""Wifi"", ""Deliplus or Similar body soap"", ""First aid kit""]",$177.00,2,180,2.0,7.0,1125.0,1125.0,5.3,1125.0,t,8,17,32,307,133,264,27,1,32,2.35,4.67,4.77,4.75,4.85,4.91
2414,13572127,20250612050654,537105282,41.40737,2.16626,el Camp d'en Grassot i Gràcia Nova,Gràcia,Entire rental unit,Entire home/apt,2023-09-14,"Barcelona, Spain",,,,f,3.0,5.0,f,t,6,2.0,2 baths,3.0,4.0,"[""TV with standard cable"", ""Hangers"", ""Indoor fireplace"", ""Refrigerator"", ""Elevator"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Coffee maker"", ""Body soap"", ""Backyard"", ""Heating"", ""Host greets you"", ""Fire extinguisher"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Cleaning products"", ""Shampoo"", ""Crib"", ""Dishes and silverware"", ""Washer"", ""Essentials"", ""Microwave"", ""Patio or balcony"", ""Hair dryer"", ""Smoke alarm"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""First aid kit""]",$309.00,3,60,1.0,5.0,60.0,60.0,3.1,60.0,t,2,10,19,77,77,194,46,3,51,2.04,4.75,4.8,4.68,4.85,4.8
2423,13628415,20250612050654,537105282,41.40754,2.16666,el Camp d'en Grassot i Gràcia Nova,Gràcia,Entire rental unit,Entire home/apt,2023-09-14,"Barcelona, Spain",,,,f,3.0,5.0,f,t,5,2.0,2 baths,2.0,3.0,"[""Self check-in"", ""Indoor fireplace"", ""Hot water"", ""Smart lock"", ""Wifi"", ""Washer"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Stove"", ""Exterior security cameras on property"", ""Elevator"", ""Iron"", ""Coffee maker"", ""TV"", ""Heating"", ""Essentials"", ""Air conditioning""]",$251.00,3,90,1.0,6.0,90.0,90.0,3.5,90.0,t,6,14,34,92,92,193,47,2,41,1.81,4.76,4.78,4.77,4.91,4.71
2529,14121260,20250612050654,407597998,41.37647,2.156,Sant Antoni,Eixample,Entire rental unit,Entire home/apt,2021-06-17,"Andalusia, Spain",within an hour,100%,100%,f,17.0,19.0,t,t,4,1.0,1 bath,2.0,2.0,"[""Bed linens"", ""Oven"", ""Self check-in"", ""Dishwasher"", ""Hot water"", ""Smart lock"", ""High chair"", ""Body soap"", ""Central air conditioning"", ""Cooking basics"", ""Wifi"", ""Breakfast"", ""Outdoor kitchen"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Coffee maker: espresso machine"", ""Hair dryer"", ""Kitchen"", ""Stove"", ""Hammock"", ""Luggage dropoff allowed"", ""City skyline view"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Iron"", ""Smoke alarm"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Ethernet connection"", ""Shower gel"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Changing table"", ""Heating"", ""Carbon monoxide alarm"", ""Essentials"", ""Mini fridge""]",$338.00,3,28,3.0,3.0,28.0,28.0,3.0,28.0,t,18,41,66,341,169,229,16,0,22,2.12,4.79,4.76,4.69,4.89,4.79
2610,14847034,20250612050654,437835392,41.40408,2.17495,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,2021-12-28,,,,,f,29.0,30.0,t,t,3,1.0,1 bath,2.0,3.0,"[""Bed linens"", ""Oven"", ""Private entrance"", ""High chair"", ""Wifi"", ""Washer"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Toaster"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Coffee maker"", ""Patio or balcony"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Air conditioning""]",$65.00,32,330,32.0,32.0,330.0,330.0,32.0,330.0,,0,0,0,0,0,9,3,0,1,0.09,4.44,4.56,4.56,5.0,4.89
2650,14778581,20250612050654,437835392,41.40454,2.17355,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,2021-12-28,,,,,f,29.0,30.0,t,t,3,,1 bath,2.0,,"[""Bed linens"", ""Oven"", ""Private entrance"", ""High chair"", ""Wifi"", ""Washer"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Toaster"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Coffee maker"", ""Patio or balcony"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Air conditioning""]",,32,330,32.0,32.0,330.0,330.0,32.0,330.0,,0,0,0,0,0,7,1,0,1,0.07,4.14,4.14,4.0,4.86,5.0
2657,15033088,20250612050654,437835392,41.40626,2.17337,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,2021-12-28,,,,,f,29.0,30.0,t,t,3,1.0,1 bath,2.0,3.0,"[""Hangers"", ""Dedicated workspace"", ""Refrigerator"", ""Stove"", ""Elevator"", ""Long term stays allowed"", ""Coffee maker"", ""Heating"", ""Host greets you"", ""Private entrance"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Oven"", ""Toaster"", ""Crib"", ""Dishes and silverware"", ""Washer"", ""TV"", ""High chair"", ""Microwave"", ""Patio or balcony"", ""Hair dryer"", ""Wifi""]",$58.00,32,330,32.0,32.0,330.0,330.0,32.0,330.0,,0,0,0,51,51,14,3,1,1,0.14,4.64,4.21,4.57,4.86,4.93
