Unnamed: 0,id,scrape_id,host_id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,availability_eoy,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location
2200,12200436,20250612050654,57236849,41.36002,2.13846,la Marina de Port,Sants-Montjuïc,Private room in rental unit,Private room,2016-02-03,"Barcelona, Spain",within an hour,90%,93%,t,6.0,9.0,t,t,1,,1 shared bath,1.0,,"[""Hot water"", ""TV with standard cable"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Backyard"", ""Shampoo"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Dryer"", ""Elevator"", ""Host greets you"", ""Iron"", ""Free street parking"", ""Coffee maker"", ""Patio or balcony"", ""Dishes and silverware"", ""Refrigerator"", ""Park view"", ""Heating"", ""Essentials"", ""Air conditioning""]",,31,180,31.0,31.0,1125.0,1125.0,31.0,1125.0,t,0,0,0,77,0,72,2,0,2,0.64,4.57,4.65,4.74,4.86,4.54
2400,13532126,20250612050654,58026109,41.38544,2.17853,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Private room in rental unit,Private room,2016-02-09,"Barcelona, Spain",,,,f,1.0,1.0,t,t,2,,1.5 shared baths,,,"[""Smoking allowed"", ""Wifi"", ""Washer"", ""Dryer"", ""Shampoo"", ""Hangers"", ""Iron"", ""Heating"", ""Essentials"", ""Air conditioning""]",,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,0,0,0,0,0,4,0,0,0,0.04,4.0,4.5,4.75,4.25,4.67
2600,14838313,20250612050654,78591611,41.38469,2.16501,el Raval,Ciutat Vella,Entire rental unit,Entire home/apt,2016-06-19,,within a day,50%,29%,f,6.0,11.0,t,t,4,1.0,1 bath,4.0,4.0,"[""Host greets you"", ""Long term stays allowed"", ""Freezer"", ""Dining table"", ""Refrigerator"", ""Elevator"", ""Toaster"", ""Heating"", ""Hangers"", ""Dishwasher"", ""Oven"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Iron"", ""Washer"", ""Wifi"", ""Extra pillows and blankets"", ""Hair dryer"", ""Stove"", ""Dishes and silverware"", ""Air conditioning"", ""Drying rack for clothing"", ""TV"", ""Kitchen"", ""Microwave"", ""Clothing storage""]",$101.00,35,365,35.0,35.0,365.0,365.0,35.0,365.0,t,0,0,0,184,9,2,1,1,0,0.02,5.0,5.0,5.0,5.0,4.5
2800,16403800,20250612050654,21483975,41.37914,2.15898,Sant Antoni,Eixample,Entire rental unit,Entire home/apt,2014-09-18,"Barcelona, Spain",within an hour,100%,98%,t,19.0,20.0,t,t,8,2.0,2 baths,4.0,7.0,"[""Bed linens"", ""Conditioner"", ""Central heating"", ""Coffee"", ""Stainless steel oven"", ""Paid clamp on table seat high chair - available upon request"", ""Hot water"", ""Room-darkening shades"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Body soap"", ""Central air conditioning"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Coffee maker: espresso machine"", ""Hair dryer"", ""Paid crib - available upon request"", ""Kitchen"", ""Toaster"", ""Dining table"", ""Wine glasses"", ""Hot water kettle"", ""Elevator"", ""Iron"", ""Smoke alarm"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Ethernet connection"", ""Cleaning products"", ""Baby bath - available upon request"", ""Shower gel"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""43 inch TV"", ""Dishes and silverware"", ""Refrigerator"", ""Balay induction stove"", ""Blender"", ""Freezer"", ""Essentials"", ""Dishwasher""]",$496.00,1,365,3.0,31.0,999.0,999.0,15.8,999.0,t,20,40,59,153,148,280,51,4,52,2.75,4.82,4.89,4.9,4.97,4.76
3000,17713036,20250612050654,61674344,41.3727,2.16756,el Poble Sec,Sants-Montjuïc,Entire rental unit,Entire home/apt,2016-03-05,"Barcelona, Spain",within an hour,100%,100%,f,4.0,4.0,t,t,6,2.0,2 baths,2.0,2.0,"[""Bed linens"", ""Oven"", ""Babysitter recommendations"", ""Dishwasher"", ""Hot water"", ""Room-darkening shades"", ""High chair"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Bathtub"", ""Luggage dropoff allowed"", ""Dryer"", ""Crib"", ""Dedicated workspace"", ""Iron"", ""Free street parking"", ""Coffee maker"", ""Patio or balcony"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Essentials"", ""Air conditioning""]",$252.00,1,120,1.0,3.0,365.0,365.0,2.9,365.0,t,14,22,52,327,155,223,28,0,24,2.29,4.65,4.77,4.64,4.82,4.65
3200,18918168,20250612050654,128959838,41.3881,2.16787,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,2017-05-05,"Barcelona, Spain",within an hour,100%,99%,f,34.0,40.0,t,t,4,1.0,1 bath,1.0,3.0,"[""Bed linens"", ""Oven"", ""Self check-in"", ""Smart lock"", ""High chair"", ""Central air conditioning"", ""Wifi"", ""Microwave"", ""Hair dryer"", ""Kitchen"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Safe"", ""Iron"", ""Free washer \u2013 In unit"", ""Pets allowed"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""TV"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",$285.00,1,365,1.0,31.0,999.0,999.0,15.8,999.0,t,5,20,36,81,81,64,19,2,16,0.93,4.8,4.95,4.97,4.73,4.98
3400,20023860,20250612050654,77646694,41.4067,2.17237,la Sagrada Família,Eixample,Private room in rental unit,Private room,2016-06-14,"Barcelona, Spain",,,,f,2.0,10.0,t,t,3,,1 shared bath,,,"[""Bed linens"", ""Smoking allowed"", ""Oven"", ""Hot water"", ""TV with standard cable"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Microwave"", ""First aid kit"", ""Kitchen"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Elevator"", ""Pets allowed"", ""Ethernet connection"", ""Refrigerator"", ""Essentials""]",,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,0,0,0,0,0,42,0,0,0,0.44,4.26,4.81,3.6,4.67,4.93
3600,20856955,20250612050654,336524176,41.38301,2.18442,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire serviced apartment,Entire home/apt,2020-02-16,"Barcelona, Spain",within a day,91%,51%,,40.0,55.0,t,t,2,,1 bath,,,"[""Bed linens"", ""Paid parking on premises"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""Dryer"", ""Kitchen"", ""Elevator"", ""Hangers"", ""Host greets you"", ""Hair dryer"", ""Iron"", ""Hot water"", ""TV"", ""Essentials"", ""Heating"", ""Air conditioning""]",,32,180,32.0,32.0,180.0,180.0,32.0,180.0,t,1,11,41,41,41,9,1,1,0,0.11,4.78,4.89,4.89,4.78,4.89
3800,21722053,20250612050654,158023606,41.3718,2.12747,Sants - Badal,Sants-Montjuïc,Entire rental unit,Entire home/apt,2017-11-09,"Barcelona, Spain",within an hour,99%,98%,f,152.0,171.0,t,t,3,1.0,1 bath,2.0,3.0,"[""Freezer"", ""TV with standard cable"", ""Patio or balcony"", ""Dining table"", ""Refrigerator"", ""Elevator"", ""Bathtub"", ""Essentials"", ""Toaster"", ""Heating"", ""Dishwasher"", ""Oven"", ""Coffee maker"", ""Self check-in"", ""Iron"", ""Washer"", ""Shampoo"", ""Hair dryer"", ""Crib"", ""Fast wifi \u2013 117 Mbps"", ""Air conditioning"", ""High chair"", ""Smart lock"", ""Kitchen"", ""Hot water kettle"", ""Microwave""]",$278.00,1,333,2.0,5.0,333.0,333.0,4.3,333.0,t,9,39,69,344,168,90,10,1,5,1.01,4.21,4.33,4.3,4.6,4.27
4000,23004383,20250612050654,34559172,41.42024,2.15717,el Carmel,Horta-Guinardó,Private room in rental unit,Private room,2015-05-30,"Barcelona, Spain",within an hour,80%,100%,t,1.0,3.0,t,t,2,1.0,1 private bath,1.0,1.0,"[""TV with standard cable"", ""Hangers"", ""Central air conditioning"", ""Dedicated workspace"", ""Refrigerator"", ""Elevator"", ""Conditioner"", ""Coffee maker"", ""Drying rack for clothing"", ""Body soap"", ""Smoking allowed"", ""Extra pillows and blankets"", ""Heating"", ""Paid parking off premises"", ""Host greets you"", ""Fire extinguisher"", ""Private patio or balcony"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Shampoo"", ""Dishes and silverware"", ""Clothing storage: wardrobe"", ""Wifi"", ""City skyline view"", ""Pets allowed"", ""Essentials"", ""Lock on bedroom door"", ""Hair dryer"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Hot water"", ""Cooking basics"", ""Sea view"", ""Mountain view""]",$87.00,31,100,30.0,31.0,1125.0,1125.0,31.0,1125.0,t,8,30,60,69,69,202,22,0,46,2.27,4.82,4.86,4.81,4.79,4.48
