Unnamed: 0,scrape_id,latitude,neighbourhood_cleansed,property_type,host_since,host_response_time,host_acceptance_rate,host_listings_count,host_has_profile_pic,accommodates,bathrooms_text,beds,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_30,availability_90,availability_eoy,number_of_reviews_ltm,number_of_reviews_ly,review_scores_rating,review_scores_cleanliness,review_scores_location
6437,20250612050654,41.38268,el Barri Gòtic,Entire rental unit,2011-11-27,within an hour,28%,356.0,t,13,4 baths,8.0,"$1,817.00",330,3.0,330.0,330.0,30,90,189,2,1,5.0,5.0,5.0
6438,20250612050654,41.38333,"Sant Pere, Santa Caterina i la Ribera",Entire rental unit,2011-11-27,within an hour,28%,356.0,t,12,3 baths,9.0,"$1,817.00",330,1.0,330.0,330.0,30,90,193,0,0,,,
6439,20250612050654,41.3984,el Fort Pienc,Entire rental unit,2019-12-20,,100%,1.0,t,5,1 bath,4.0,$438.00,365,3.0,365.0,178.3,7,37,115,0,0,4.76,4.84,4.78
6440,20250612050654,41.41108,el Camp de l'Arpa del Clot,Entire rental unit,2017-11-09,within an hour,98%,152.0,t,4,1 bath,4.0,$303.00,333,5.0,333.0,333.0,9,50,151,43,38,4.69,4.73,4.7
6441,20250612050654,41.4104,Diagonal Mar i el Front Marítim del Poblenou,Entire rental unit,2018-11-16,within an hour,93%,1.0,t,5,2 baths,4.0,$220.00,90,4.0,90.0,90.0,1,17,75,54,52,4.98,4.99,4.84
6442,20250612050654,41.37183,el Poble Sec,Entire rental unit,2011-11-27,within an hour,28%,356.0,t,6,2 baths,4.0,$549.00,330,1.0,330.0,330.0,30,90,189,0,0,,,
6443,20250612050654,41.37875,la Barceloneta,Entire rental unit,2018-06-27,within an hour,98%,5.0,t,3,1 bath,2.0,$227.00,1125,3.0,365.0,365.0,8,41,136,8,10,4.7,4.97,4.81
6444,20250612050654,41.3855,les Corts,Entire rental unit,2013-02-28,within a few hours,88%,47.0,t,2,1 bath,1.0,$58.00,1125,32.0,1125.0,1125.0,21,21,21,2,3,4.43,4.0,4.86
6445,20250612050654,41.40601,la Vila de Gràcia,Entire rental unit,2012-12-21,within an hour,79%,224.0,t,4,1 bath,2.0,$142.00,1125,5.0,1125.0,170.1,6,51,153,1,3,4.17,4.78,4.67
6446,20250612050654,41.40821,la Vila de Gràcia,Entire rental unit,2012-12-21,within an hour,79%,224.0,t,6,2 baths,4.0,$181.00,1125,5.0,1125.0,191.2,4,42,144,1,1,4.35,4.41,4.35
6447,20250612050654,41.40794,la Vila de Gràcia,Entire rental unit,2012-12-21,within an hour,79%,224.0,t,5,1 bath,4.0,$176.00,1125,5.0,1125.0,188.6,2,40,142,15,14,4.4,4.6,4.59
6448,20250612050654,41.4078,la Vila de Gràcia,Entire rental unit,2012-12-21,within an hour,79%,224.0,t,4,1 bath,3.0,$152.00,1125,5.0,1125.0,214.8,7,39,141,10,11,4.36,4.55,4.53
6449,20250612050654,41.40822,la Vila de Gràcia,Entire rental unit,2012-12-21,within an hour,79%,224.0,t,6,1 bath,5.0,$179.00,1125,5.0,1125.0,212.3,5,33,135,14,15,4.27,4.4,4.47
6450,20250612050654,41.40763,la Vila de Gràcia,Entire rental unit,2012-12-21,within an hour,79%,224.0,t,5,1 bath,5.0,$185.00,1125,5.0,1125.0,176.0,8,43,145,11,15,4.46,4.59,4.5
6451,20250612050654,41.37992,el Raval,Entire rental unit,2016-03-16,within an hour,100%,13.0,t,6,1 bath,3.0,$297.00,320,3.0,15.0,15.0,8,46,145,12,18,4.55,4.66,4.5
6452,20250612050654,41.38003,el Raval,Entire rental unit,2016-03-16,within an hour,100%,13.0,t,6,1 bath,3.0,$265.00,320,3.0,15.0,15.0,3,18,120,21,26,4.55,4.63,4.41
6453,20250612050654,41.37792,el Raval,Entire rental unit,2016-03-16,within an hour,100%,13.0,t,6,1 bath,3.0,$330.00,320,3.0,15.0,15.0,8,29,122,17,23,4.61,4.53,4.54
6454,20250612050654,41.3977,el Poblenou,Entire rental unit,2019-08-20,within an hour,100%,3.0,t,4,1 bath,2.0,$203.00,1125,7.0,30.0,30.0,4,42,104,6,1,4.71,4.24,4.9
6455,20250612050654,41.39117,l'Antiga Esquerra de l'Eixample,Private room in rental unit,2018-05-16,,,1.0,t,1,2 shared baths,,,28,5.0,1125.0,1125.0,0,0,0,0,0,5.0,4.95,5.0
